date	reported	nowcast_med	nowcast_lwr	nowcast_upr
2021-01-18	694	1692	1450	1998
2021-01-17	765	1555	1357	1800
2021-01-16	910	1542	1382	1739
2021-01-15	1213	1728	1596	1896
2021-01-14	1485	1894	1787	2032
2021-01-13	1747	2068	1984	2178
2021-01-12	2042	2292	2222	2378
2021-01-11	2176	2373	2320	2444
2021-01-10	1934	2095	2048	2154
2021-01-09	2091	2234	2191	2285
2021-01-08	2427	2555	2518	2604
2021-01-07	2581	2694	2660	2736
2021-01-06	2574	2670	2641	2708
2021-01-05	2817	2900	2873	2933
2021-01-04	2965	3037	3012	3068
2021-01-03	2648	2710	2688	2739
2021-01-02	2751	2807	2786	2834
2021-01-01	2689	2740	2719	2768
2020-12-31	2824	2870	2848	2901
2020-12-30	3280	3280	3280	3280
2020-12-29	3670	3670	3670	3670
2020-12-28	3856	3856	3856	3856
2020-12-27	3469	3469	3469	3469
2020-12-26	3296	3296	3296	3296
2020-12-25	3177	3177	3177	3177
2020-12-24	3373	3373	3373	3373
2020-12-23	3443	3443	3443	3443
2020-12-22	3589	3589	3589	3589
2020-12-21	3788	3788	3788	3788
2020-12-20	3496	3496	3496	3496
2020-12-19	3389	3389	3389	3389
2020-12-18	3730	3730	3730	3730
2020-12-17	3710	3710	3710	3710
2020-12-16	4282	4282	4282	4282
2020-12-15	4348	4348	4348	4348
2020-12-14	4456	4456	4456	4456
2020-12-13	3776	3776	3776	3776
2020-12-12	4046	4046	4046	4046
2020-12-11	4050	4050	4050	4050
2020-12-10	4116	4116	4116	4116
2020-12-09	4313	4313	4313	4313
2020-12-08	4341	4341	4341	4341
2020-12-07	4346	4346	4346	4346
2020-12-06	3810	3810	3810	3810
2020-12-05	3715	3715	3715	3715
2020-12-04	3715	3715	3715	3715
2020-12-03	3609	3609	3609	3609
2020-12-02	3935	3935	3935	3935
2020-12-01	3700	3700	3700	3700
2020-11-30	3668	3668	3668	3668
2020-11-29	3230	3230	3230	3230
2020-11-28	3224	3224	3224	3224
2020-11-27	3337	3337	3337	3337
2020-11-26	3414	3414	3414	3414
2020-11-25	3500	3500	3500	3500
2020-11-24	3523	3523	3523	3523
2020-11-23	3639	3639	3639	3639
2020-11-22	3132	3132	3132	3132
2020-11-21	3135	3135	3135	3135
2020-11-20	3319	3319	3319	3319
2020-11-19	3304	3304	3304	3304
2020-11-18	3672	3672	3672	3672
2020-11-17	3615	3615	3615	3615
2020-11-16	3667	3667	3667	3667
2020-11-15	3244	3244	3244	3244
2020-11-14	3100	3100	3100	3100
2020-11-13	3337	3337	3337	3337
2020-11-12	3272	3272	3272	3272
2020-11-11	3528	3528	3528	3528
2020-11-10	3454	3454	3454	3454
2020-11-09	3694	3694	3694	3694
2020-11-08	3212	3212	3212	3212
2020-11-07	3293	3293	3293	3293
2020-11-06	3412	3412	3412	3412
2020-11-05	3387	3387	3387	3387
2020-11-04	3671	3671	3671	3671
2020-11-03	3457	3457	3457	3457
2020-11-02	3537	3537	3537	3537
2020-11-01	3186	3186	3186	3186
2020-10-31	3034	3034	3034	3034
2020-10-30	3089	3089	3089	3089
2020-10-29	2805	2805	2805	2805
2020-10-28	2916	2916	2916	2916
2020-10-27	2959	2959	2959	2959
2020-10-26	3088	3088	3088	3088
2020-10-25	2634	2634	2634	2634
2020-10-24	2440	2440	2440	2440
2020-10-23	2514	2514	2514	2514
2020-10-22	2407	2407	2407	2407
2020-10-21	2338	2338	2338	2338
2020-10-20	2246	2246	2246	2246
2020-10-19	2080	2080	2080	2080
2020-10-18	1716	1716	1716	1716
2020-10-17	1598	1598	1598	1598
2020-10-16	1578	1578	1578	1578
2020-10-15	1389	1389	1389	1389
2020-10-14	1375	1375	1375	1375
2020-10-13	1278	1278	1278	1278
2020-10-12	1143	1143	1143	1143
2020-10-11	901	901	901	901
2020-10-10	844	844	844	844
2020-10-09	758	758	758	758
2020-10-08	717	717	717	717
2020-10-07	763	763	763	763
2020-10-06	710	710	710	710
