date	reported	nowcast_med	nowcast_lwr	nowcast_upr
2021-01-18	651	1561	1347	1838
2021-01-17	693	1410	1232	1626
2021-01-16	862	1436	1291	1627
2021-01-15	1129	1602	1480	1755
2021-01-14	1387	1763	1662	1890
2021-01-13	1656	1953	1873	2056
2021-01-12	1928	2159	2094	2239
2021-01-11	2049	2232	2181	2301
2021-01-10	1837	1986	1943	2041
2021-01-09	1969	2101	2061	2151
2021-01-08	2296	2415	2379	2461
2021-01-07	2463	2568	2536	2608
2021-01-06	2458	2547	2519	2583
2021-01-05	2698	2775	2750	2805
2021-01-04	2838	2904	2881	2934
2021-01-03	2512	2569	2548	2594
2021-01-02	2631	2682	2663	2707
2021-01-01	2574	2620	2600	2647
2020-12-31	2683	2726	2705	2756
2020-12-30	3153	3153	3153	3153
2020-12-29	3499	3499	3499	3499
2020-12-28	3668	3668	3668	3668
2020-12-27	3288	3288	3288	3288
2020-12-26	3139	3139	3139	3139
2020-12-25	3042	3042	3042	3042
2020-12-24	3236	3236	3236	3236
2020-12-23	3294	3294	3294	3294
2020-12-22	3401	3401	3401	3401
2020-12-21	3581	3581	3581	3581
2020-12-20	3288	3288	3288	3288
2020-12-19	3198	3198	3198	3198
2020-12-18	3498	3498	3498	3498
2020-12-17	3491	3491	3491	3491
2020-12-16	4040	4040	4040	4040
2020-12-15	4132	4132	4132	4132
2020-12-14	4234	4234	4234	4234
2020-12-13	3578	3578	3578	3578
2020-12-12	3864	3864	3864	3864
2020-12-11	3838	3838	3838	3838
2020-12-10	3908	3908	3908	3908
2020-12-09	4095	4095	4095	4095
2020-12-08	4161	4161	4161	4161
2020-12-07	4124	4124	4124	4124
2020-12-06	3628	3628	3628	3628
2020-12-05	3534	3534	3534	3534
2020-12-04	3528	3528	3528	3528
2020-12-03	3446	3446	3446	3446
2020-12-02	3761	3761	3761	3761
2020-12-01	3493	3493	3493	3493
2020-11-30	3513	3513	3513	3513
2020-11-29	3059	3059	3059	3059
2020-11-28	3052	3052	3052	3052
2020-11-27	3150	3150	3150	3150
2020-11-26	3241	3241	3241	3241
2020-11-25	3295	3295	3295	3295
2020-11-24	3327	3327	3327	3327
2020-11-23	3441	3441	3441	3441
2020-11-22	2982	2982	2982	2982
2020-11-21	2941	2941	2941	2941
2020-11-20	3153	3153	3153	3153
2020-11-19	3099	3099	3099	3099
2020-11-18	3470	3470	3470	3470
2020-11-17	3419	3419	3419	3419
2020-11-16	3491	3491	3491	3491
